DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Part Status,Function,Output Configuration,Topology,Output Type,Number of Outputs,Voltage - Input (Min),Voltage - Input (Max),Voltage - Output (Min/Fixed),Voltage - Output (Max),Current - Output,Frequency - Switching,Synchronous Rectifier,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
"PAM2306AYPKEDITR-ND,PAM2306AYPKEDICT-ND,PAM2306AYPKEDIDKR-ND",PAM2306AYPKE,Diodes Incorporated,Diodes Incorporated,IC REG BUCK 1.8V/3.3V DL 12WDFN,"154,402",0.76,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,2,2.5V,5.5V,"1.8V, 3.3V",-,1A,1.5MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,12-WFDFN Exposed Pad,12-WDFN (3x3)
"296-46475-2-ND,296-46475-1-ND,296-46475-6-ND",TPS62233DRYR,Texas Instruments,Texas Instruments,IC REG BUCK 3V 500MA 6SON,"6,467",1.5,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.05V,6V,3V,-,500mA,3MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,6-UFDFN,6-SON (1.45x1)
"LM3674MF-1.8/NOPBTR-ND,LM3674MF-1.8/NOPBCT-ND,LM3674MF-1.8/NOPBDKR-ND",LM3674MF-1.8/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 600MA SOT23-5,"1,614",1.74,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,1.8V,-,600mA,2MHz,Yes,-30°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-23-5
"LM3674MF-1.2/NOPBTR-ND,LM3674MF-1.2/NOPBCT-ND,LM3674MF-1.2/NOPBDKR-ND",LM3674MF-1.2/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.2V 600MA SOT23-5,"5,365",1.74,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,1.2V,-,600mA,2MHz,Yes,-30°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-23-5
"296-15223-2-ND,296-15223-1-ND,296-15223-6-ND",TPS62046DGQR,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 1.2A 10MSOP,"1,481",2.39,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,6V,3.3V,-,1.2A,1.25MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"10-PowerTFSOP, 10-MSOP (0.118"", 3.00mm Width)",10-HVSSOP
"296-29647-2-ND,296-29647-1-ND,296-29647-6-ND",TPS62082DSGT,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 1.2A 8WSON,44,2.07,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",DCS-Control™,Active,Step-Down,Positive,Buck,Fixed,1,2.3V,6V,3.3V,-,1.2A,2MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,8-WFDFN Exposed Pad,8-WSON (2x2)
"296-41291-2-ND,296-41291-1-ND,296-41291-6-ND",LM2651MTCX-3.3/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 1.5A 16TSSOP,"3,696",4,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,4V,14V,3.3V,-,1.5A,300kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"16-TSSOP (0.173"", 4.40mm Width)",16-TSSOP
MAX20004AFOC/VY+-ND,MAX20004AFOC/VY+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC STEP DOWN CONVERT 4A 17GC2QFN,"1,943",4.56,0,1,Tray,"Automotive, AEC-Q100",Active,Step-Down,Positive,Buck,Fixed,1,3.5V,36V,5V,-,4A,220kHz ~ 2.2MHz,Yes,-40°C ~ 125°C,Surface Mount,17-PowerWFQFN,17-FC2QFN (3.5x3.75)
"LTC3642EMS8E-3.3#TRPBFTR-ND,LTC3642EMS8E-3.3#TRPBFCT-ND,LTC3642EMS8E-3.3#TRPBFDKR-ND",LTC3642EMS8E-3.3#TRPBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 3.3V 50MA 8MSOP,"5,105",7.14,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,45V,3.3V,-,50mA,-,Yes,-40°C ~ 125°C (TJ),Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",8-MSOP-EP
LM2852YMXA-3.3/NOPB-ND,LM2852YMXA-3.3/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 2A 14HTSSOP,759,5.1,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,3.3V,-,2A,500kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
MAX20008AFOC/VY+-ND,MAX20008AFOC/VY+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC STEP DOWN CONVERT 8A 17GC2QFN,322,5.14,0,1,Tray,"Automotive, AEC-Q100",Active,Step-Down,Positive,Buck,Fixed,1,3.5V,36V,5V,-,8A,220kHz ~ 2.2MHz,Yes,-40°C ~ 125°C,Surface Mount,17-PowerWFQFN,17-FC2QFN (3.5x3.75)
LM2852XMXA-1.2/NOPB-ND,LM2852XMXA-1.2/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 1.2V 2A 14HTSSOP,721,5.16,0,1,Tube,SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,2.85V,5.5V,1.2V,-,2A,1.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
"LTC3631EMS8E-5#TRPBFTR-ND,LTC3631EMS8E-5#TRPBFCT-ND,LTC3631EMS8E-5#TRPBFDKR-ND",LTC3631EMS8E-5#TRPBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 5V 100MA 8MSOP,"3,941",7.92,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive or Negative,Buck,Fixed,1,4.5V,45V,5V,-,100mA,-,Yes,-40°C ~ 125°C (TJ),Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",8-MSOP-EP
LTC3642EMS8E-5#PBF-ND,LTC3642EMS8E-5#PBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 5V 50MA 8MSOP,"3,905",7.14,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,45V,5V,-,50mA,-,Yes,-40°C ~ 125°C (TJ),Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",8-MSOP-EP
LTC3631EDD-3.3#PBF-ND,LTC3631EDD-3.3#PBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 3.3V 100MA 8DFN,351,7.92,0,1,Tube,-,Active,Step-Down,Positive or Negative,Buck,Fixed,1,4.5V,45V,3.3V,-,100mA,-,Yes,-40°C ~ 125°C (TJ),Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
